Sample 1 Mintemir, 7.11.2019, 19:8
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]
1.00000e+06	2.00000e+01	6.92067e+01	1.58347e+00	8.80924e-07	-3.79452e-05
7.14286e+05	2.00000e+01	6.92407e+01	2.08968e+00	8.30387e-07	-2.71172e-05
5.10204e+05	2.00000e+01	6.92991e+01	2.90431e+00	8.24359e-07	-1.93860e-05
3.64432e+05	2.00000e+01	6.93710e+01	4.03345e+00	8.17752e-07	-1.38617e-05
2.60308e+05	2.00000e+01	6.94874e+01	5.57815e+00	8.07806e-07	-9.91808e-06
1.85934e+05	2.00000e+01	6.95525e+01	7.57592e+00	7.83655e-07	-7.09108e-06
1.32810e+05	2.00000e+01	6.97061e+01	1.04847e+01	7.74670e-07	-5.07640e-06
9.48645e+04	2.00000e+01	6.99381e+01	1.45277e+01	7.66709e-07	-3.63825e-06
6.77604e+04	2.00000e+01	7.02899e+01	2.01340e+01	7.58987e-07	-2.61201e-06
4.84003e+04	2.00000e+01	7.08955e+01	2.78691e+01	7.50411e-07	-1.88203e-06
3.45716e+04	2.00000e+01	7.17692e+01	3.83822e+01	7.38207e-07	-1.36111e-06
2.46940e+04	2.00000e+01	7.31027e+01	5.29326e+01	7.27183e-07	-9.90541e-07
1.76386e+04	2.00000e+01	7.51283e+01	7.28584e+01	7.14945e-07	-7.27406e-07
1.25990e+04	2.00000e+01	7.83095e+01	1.00320e+02	7.03155e-07	-5.41873e-07
8.99928e+03	2.00000e+01	8.33202e+01	1.37845e+02	6.90126e-07	-4.12138e-07
6.42805e+03	2.00000e+01	9.12384e+01	1.88867e+02	6.75404e-07	-3.22701e-07
4.59147e+03	2.00000e+01	1.03638e+02	2.57884e+02	6.58725e-07	-2.62174e-07
3.27962e+03	2.00000e+01	1.23302e+02	3.50757e+02	6.39969e-07	-2.23145e-07
2.34258e+03	2.00000e+01	1.54288e+02	4.75045e+02	6.19098e-07	-1.99770e-07
1.67328e+03	2.00000e+01	2.02674e+02	6.39712e+02	5.95499e-07	-1.87735e-07
1.19520e+03	2.00000e+01	2.77434e+02	8.54321e+02	5.68054e-07	-1.83806e-07
8.53712e+02	2.00000e+01	3.92848e+02	1.13262e+03	5.37928e-07	-1.86105e-07
6.09794e+02	2.00000e+01	5.68819e+02	1.48432e+03	5.03545e-07	-1.92629e-07
4.35567e+02	2.00000e+01	8.29823e+02	1.90991e+03	4.62805e-07	-2.00838e-07
3.11119e+02	2.00000e+01	1.20730e+03	2.40701e+03	4.16614e-07	-2.08791e-07
2.22228e+02	2.00000e+01	1.72917e+03	2.96144e+03	3.66127e-07	-2.13656e-07
1.58734e+02	2.00000e+01	2.40771e+03	3.53189e+03	3.11894e-07	-2.12532e-07
1.13382e+02	2.00000e+01	3.25029e+03	4.09173e+03	2.58095e-07	-2.04956e-07
8.09869e+01	2.00000e+01	4.22421e+03	4.59758e+03	2.07145e-07	-1.90277e-07
5.78478e+01	2.00000e+01	5.28613e+03	5.04795e+03	1.62454e-07	-1.70087e-07
4.13199e+01	2.00000e+01	6.36360e+03	5.43424e+03	1.24918e-07	-1.46259e-07
2.95142e+01	2.00000e+01	7.50596e+03	5.85504e+03	9.61369e-08	-1.23228e-07
2.10816e+01	2.00000e+01	8.60346e+03	6.33267e+03	7.42709e-08	-1.00892e-07
1.50583e+01	2.00000e+01	9.73289e+03	6.97283e+03	5.84135e-08	-8.15270e-08
1.07559e+01	2.00000e+01	1.08267e+04	7.93329e+03	4.74711e-08	-6.47788e-08
7.68279e+00	2.00000e+01	1.18254e+04	9.42596e+03	4.02878e-08	-5.05391e-08
5.48770e+00	2.00000e+01	1.29968e+04	1.11571e+04	3.40619e-08	-3.96755e-08
3.91979e+00	2.00000e+01	1.40547e+04	1.40940e+04	3.07346e-08	-3.06465e-08
2.79985e+00	2.00000e+01	1.55285e+04	1.76400e+04	2.74766e-08	-2.41860e-08
1.99989e+00	2.00000e+01	1.65981e+04	2.29651e+04	2.55508e-08	-1.84658e-08
1.42850e+00	2.00000e+01	1.79830e+04	3.02106e+04	2.40087e-08	-1.42905e-08
1.02035e+00	2.00000e+01	1.93220e+04	4.15598e+04	2.35914e-08	-1.09676e-08
7.28824e-01	2.00000e+01	2.11171e+04	5.65784e+04	2.29405e-08	-8.56181e-09
5.20588e-01	2.00000e+01	2.36402e+04	7.81711e+04	2.26397e-08	-6.84630e-09
3.71849e-01	2.00000e+01	2.72601e+04	1.08935e+05	2.25353e-08	-5.63906e-09
2.65606e-01	2.00000e+01	3.23046e+04	1.51251e+05	2.23493e-08	-4.77330e-09
1.89719e-01	2.00000e+01	3.98971e+04	2.10574e+05	2.22251e-08	-4.21085e-09
1.35513e-01	2.00000e+01	5.07457e+04	2.92449e+05	2.20476e-08	-3.82563e-09
1.00000e-01	2.00000e+01	6.49213e+04	3.94793e+05	2.19634e-08	-3.61168e-09
1.00000e+06	1.50000e+01	7.01597e+01	1.15646e+00	6.43368e-07	-3.84753e-05
7.14286e+05	1.50000e+01	7.01841e+01	1.49904e+00	5.95683e-07	-2.74921e-05
