Test Sample, 9.6.2023, 12:42
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'   	 Eps''  	 Sig' [S/cm]	Tan(Delta) 
1.00000e+06	-1.70000e+02	1.89437e+02	-1.36002e-02	-7.56614e-09	-7.17927e-05
7.14286e+05	-1.70000e+02	1.89399e+02	-9.83108e-02	-3.90663e-08	-5.19066e-04
5.10204e+05	-1.70000e+02	1.89432e+02	4.72528e-02	1.34122e-08	2.49445e-04
3.64432e+05	-1.70000e+02	1.89494e+02	2.25650e-01	4.57490e-08	1.19081e-03
2.60308e+05	-1.70000e+02	1.89637e+02	3.47674e-01	5.03488e-08	1.83336e-03
1.85934e+05	-1.70000e+02	1.89605e+02	3.36813e-01	3.48399e-08	1.77640e-03
1.32810e+05	-1.70000e+02	1.89654e+02	4.35202e-01	3.21553e-08	2.29471e-03
9.48645e+04	-1.70000e+02	1.89710e+02	5.06655e-01	2.67390e-08	2.67068e-03
6.77604e+04	-1.70000e+02	1.89750e+02	6.35903e-01	2.39715e-08	3.35126e-03
4.84003e+04	-1.70000e+02	1.89910e+02	8.03093e-01	2.16243e-08	4.22882e-03
3.45716e+04	-1.70000e+02	1.90148e+02	8.39825e-01	1.61524e-08	4.41668e-03
2.46940e+04	-1.70000e+02	1.90305e+02	9.56903e-01	1.31458e-08	5.02825e-03
1.76386e+04	-1.70000e+02	1.90480e+02	1.10756e+00	1.08682e-08	5.81456e-03
1.25990e+04	-1.70000e+02	1.90682e+02	1.26099e+00	8.83844e-09	6.61305e-03
8.99928e+03	-1.70000e+02	1.90902e+02	1.45558e+00	7.28740e-09	7.62474e-03
6.42805e+03	-1.70000e+02	1.91164e+02	1.68013e+00	6.00830e-09	8.78894e-03
4.59147e+03	-1.70000e+02	1.91505e+02	1.88773e+00	4.82193e-09	9.85734e-03
3.27962e+03	-1.70000e+02	1.91998e+02	2.15680e+00	3.93515e-09	1.12334e-02
2.34258e+03	-1.70000e+02	1.92468e+02	2.41524e+00	3.14764e-09	1.25488e-02
1.67328e+03	-1.70000e+02	1.93039e+02	2.67839e+00	2.49327e-09	1.38749e-02
1.19520e+03	-1.70000e+02	1.93564e+02	2.83737e+00	1.88662e-09	1.46586e-02
8.53712e+02	-1.70000e+02	1.94296e+02	3.09936e+00	1.47201e-09	1.59517e-02
6.09794e+02	-1.70000e+02	1.94995e+02	3.26658e+00	1.10817e-09	1.67521e-02
4.35567e+02	-1.70000e+02	1.95650e+02	3.36700e+00	8.15883e-10	1.72093e-02
3.11119e+02	-1.70000e+02	1.96382e+02	3.52018e+00	6.09285e-10	1.79251e-02
2.22228e+02	-1.70000e+02	1.97134e+02	3.67438e+00	4.54268e-10	1.86390e-02
1.58734e+02	-1.70000e+02	1.97917e+02	3.84390e+00	3.39448e-10	1.94218e-02
1.13382e+02	-1.70000e+02	1.98750e+02	4.05001e+00	2.55463e-10	2.03774e-02
8.09869e+01	-1.70000e+02	1.99647e+02	4.25930e+00	1.91903e-10	2.13342e-02
5.78478e+01	-1.70000e+02	2.00541e+02	4.48499e+00	1.44337e-10	2.23644e-02
4.13199e+01	-1.70000e+02	2.01361e+02	4.73813e+00	1.08917e-10	2.35305e-02
2.95142e+01	-1.70000e+02	2.02300e+02	5.06372e+00	8.31438e-11	2.50307e-02
2.10816e+01	-1.70000e+02	2.03384e+02	5.51044e+00	6.46277e-11	2.70937e-02
1.50583e+01	-1.70000e+02	2.04562e+02	6.00685e+00	5.03212e-11	2.93645e-02
1.07559e+01	-1.70000e+02	2.05966e+02	6.56110e+00	3.92602e-11	3.18552e-02
7.68279e+00	-1.70000e+02	2.07633e+02	7.04355e+00	3.01051e-11	3.39232e-02
5.48770e+00	-1.70000e+02	2.09449e+02	7.27172e+00	2.22002e-11	3.47183e-02
3.91979e+00	-1.70000e+02	2.11367e+02	7.28969e+00	1.58965e-11	3.44883e-02
2.79985e+00	-1.70000e+02	2.13220e+02	7.10969e+00	1.10743e-11	3.33444e-02
1.99989e+00	-1.70000e+02	2.14857e+02	6.71112e+00	7.46674e-12	3.12353e-02
1.42850e+00	-1.70000e+02	2.16341e+02	6.24345e+00	4.96173e-12	2.88593e-02
1.02035e+00	-1.70000e+02	2.17573e+02	5.63875e+00	3.20083e-12	2.59166e-02
1.00000e+00	-1.70000e+02	2.17725e+02	5.59563e+00	3.11300e-12	2.57004e-02
1.00000e+06	-1.65000e+02	1.89679e+02	-2.68183e-02	-1.49197e-08	-1.41388e-04
7.14286e+05	-1.65000e+02	1.89623e+02	-9.98531e-02	-3.96792e-08	-5.26587e-04
5.10204e+05	-1.65000e+02	1.89659e+02	4.91846e-02	1.39606e-08	2.59332e-04
3.64432e+05	-1.65000e+02	1.89724e+02	2.22588e-01	4.51281e-08	1.17322e-03
2.60308e+05	-1.65000e+02	1.89888e+02	3.75749e-01	5.44145e-08	1.97879e-03
1.85934e+05	-1.65000e+02	1.89872e+02	3.68397e-01	3.81070e-08	1.94024e-03
1.32810e+05	-1.65000e+02	1.89936e+02	4.80932e-01	3.55341e-08	2.53208e-03
9.48645e+04	-1.65000e+02	1.89999e+02	5.70570e-01	3.01122e-08	3.00301e-03
6.77604e+04	-1.65000e+02	1.90048e+02	7.02312e-01	2.64750e-08	3.69544e-03
4.84003e+04	-1.65000e+02	1.90227e+02	8.81734e-01	2.37419e-08	4.63517e-03
3.45716e+04	-1.65000e+02	1.90485e+02	9.38127e-01	1.80431e-08	4.92494e-03
2.46940e+04	-1.65000e+02	1.90653e+02	1.06863e+00	1.46808e-08	5.60512e-03
1.76386e+04	-1.65000e+02	1.90860e+02	1.24499e+00	1.22168e-08	6.52306e-03
1.25990e+04	-1.65000e+02	1.91092e+02	1.44525e+00	1.01300e-08	7.56311e-03
8.99928e+03	-1.65000e+02	1.91364e+02	1.65756e+00	8.29862e-09	8.66180e-03
6.42805e+03	-1.65000e+02	1.91677e+02	1.91499e+00	6.84817e-09	9.99070e-03
4.59147e+03	-1.65000e+02	1.92091e+02	2.15366e+00	5.50119e-09	1.12116e-02
3.27962e+03	-1.65000e+02	1.92657e+02	2.45068e+00	4.47135e-09	1.27204e-02
2.34258e+03	-1.65000e+02	1.93243e+02	2.76773e+00	3.60701e-09	1.43225e-02
1.67328e+03	-1.65000e+02	1.93869e+02	3.02746e+00	2.81822e-09	1.56160e-02
1.19520e+03	-1.65000e+02	1.94432e+02	3.20969e+00	2.13418e-09	1.65080e-02
8.53712e+02	-1.65000e+02	1.95241e+02	3.52762e+00	1.67541e-09	1.80680e-02
6.09794e+02	-1.65000e+02	1.95973e+02	3.76487e+00	1.27721e-09	1.92112e-02
4.35567e+02	-1.65000e+02	1.96784e+02	3.97209e+00	9.62506e-10	2.01850e-02
3.11119e+02	-1.65000e+02	1.97642e+02	4.23588e+00	7.33163e-10	2.14321e-02
2.22228e+02	-1.65000e+02	1.98595e+02	4.52182e+00	5.59038e-10	2.27691e-02
1.58734e+02	-1.65000e+02	1.99642e+02	4.79947e+00	4.23832e-10	2.40404e-02
1.13382e+02	-1.65000e+02	2.00760e+02	5.07175e+00	3.19912e-10	2.52627e-02
8.09869e+01	-1.65000e+02	2.01920e+02	5.31972e+00	2.39680e-10	2.63457e-02
5.78478e+01	-1.65000e+02	2.03058e+02	5.55037e+00	1.78623e-10	2.73340e-02
4.13199e+01	-1.65000e+02	2.04159e+02	5.86802e+00	1.34890e-10	2.87424e-02
2.95142e+01	-1.65000e+02	2.05361e+02	6.28122e+00	1.03135e-10	3.05863e-02
2.10816e+01	-1.65000e+02	2.06878e+02	6.81242e+00	7.98975e-11	3.29296e-02
1.50583e+01	-1.65000e+02	2.08525e+02	7.29640e+00	6.11241e-11	3.49906e-02
1.07559e+01	-1.65000e+02	2.10390e+02	7.63209e+00	4.56688e-11	3.62760e-02
7.68279e+00	-1.65000e+02	2.12393e+02	7.79195e+00	3.33038e-11	3.66864e-02
5.48770e+00	-1.65000e+02	2.14378e+02	7.64802e+00	2.33490e-11	3.56753e-02
